data_file,consumer_module,consumer_symbol,used_in_route,used_stage,loader_callsite,notes
data/concepts/catalog.yaml,scripts/embeddings/embeddings_build.py,build_index,,script,scripts/embeddings/embeddings_build.py:45-83,"Incluído via lista `include` do índice; converte YAML em texto"
data/concepts/fiis.md,scripts/embeddings/embeddings_build.py,build_index,,script,scripts/embeddings/embeddings_build.py:9-33,"Lido por `_read_text` e chunkado para embeddings"
data/embeddings/index.yaml,scripts/embeddings/embeddings_build.py,build_index,,script,scripts/embeddings/embeddings_build.py:45-54,"Define documentos e parâmetros do índice gerado"
data/embeddings/store/embeddings.jsonl,app/planner/planner.py,Planner.explain,"/ask;/ops/quality/push",request,app/planner/planner.py:183-214,"Aberto pelo `EmbeddingStore`; depende de `RAG_INDEX_PATH` e do flag RAG"
data/embeddings/store/manifest.json,-,-,,,-,"Nenhum consumidor identificado além de auditoria manual"
data/entities/cache_policies.yaml,app/cache/rt_cache.py,CachePolicies.__init__,/ask,bootstrap,app/cache/rt_cache.py:12-19,"Instanciado no bootstrap (`app/core/context`) para TTL do cache"
data/entities/fiis_cadastro/entity.yaml,app/builder/sql_builder.py,build_select_for_entity,"/ask;/ops/quality/push",request,app/builder/sql_builder.py:10-37,"Carrega contrato da entidade antes de gerar SQL"
data/entities/fiis_cadastro/entity.yaml,app/planner/param_inference.py,_entity_agg_defaults,"/ask;/ops/quality/push",request,app/planner/param_inference.py:38-50,"Extrai `aggregations.defaults` para compute-on-read"
data/entities/fiis_cadastro/entity.yaml,scripts/embeddings/embeddings_build.py,build_index,,script,scripts/embeddings/embeddings_build.py:70-124,"Documento incluído no corpus de embeddings"
data/entities/fiis_dividendos/entity.yaml,app/builder/sql_builder.py,build_select_for_entity,"/ask;/ops/quality/push",request,app/builder/sql_builder.py:10-37,"Mesmo fluxo das demais entidades"
data/entities/fiis_dividendos/entity.yaml,app/planner/param_inference.py,_entity_agg_defaults,"/ask;/ops/quality/push",request,app/planner/param_inference.py:38-50,"Usado para limites e janelas permitidas"
