question,http_status,request_error,explain_enabled,status_status,status_reason,status_message,chosen_intent,chosen_entity,planner_score,gate_accepted,gate_source,gate_reason,gate_min_score,gate_min_gap,gate_gap,score_for_gate,intent_top2_gap_base,intent_top2_gap_final,intent_top1,intent_top2,scoring_mode,scoring_keys,rows_total,result_key,cache_hit,cache_hit_response,cache_hit_metrics,cache_layer,cache_ttl,cache_key,rag_used,fusion_used,elapsed_ms_server,elapsed_ms_total_est,elapsed_ms_client,narrator_used,narrator_latency_ms,narrator_error,answer_text,expected_intent,expected_entity,match_intent,match_entity,match_both,suite_name,suite_description,payload_id,idx,fail_reasons,case_pass
Peso do {{ticker}} na minha carteira,200,,True,,gated,Blocked by threshold: low_score,ticker_query,fiis_precos,-6.6000000000000005,False,base,low_score,0.9,0.05,-6.6000000000000005,-6.6000000000000005,1.0999999999999996,1.0999999999999996,client_fiis_positions,carteira_enriquecida,list:final_combined,combined;entity;entity_top_telemetry;final_combined;intent;intent_top2_gap_base;intent_top2_gap_final;rag_hint;rag_signal;thresholds_applied,0,,False,False,,response,86400,araquem:dev-20251030:cfg-4b3f1d4e:pub:fiis_precos:plan:44f14ae98291ef48af2a1d54d88e54d91c921b56b96f9d0339edacaa2eec973a,True,False,263,263.0,284.431,,,,"Não consegui decidir com segurança entre rotas possíveis (low_score | Blocked by threshold: low_score). Tente reformular especificando o que precisa (ex.: risco, dividendos, preços, cadastro/segmento). Possíveis rotas: client_fiis_positions (0.000), carteira_enriquecida (-1.100), client_fiis_dividends_evolution (-1.100).",carteira_enriquecida,carteira_enriquecida,False,False,False,carteira_enriquecida,Suíte SQL-only gerada a partir de perguntas existentes para carteira_enriquecida.,carteira_enriquecida-q1,1,"['status_not_ok', 'entity_mismatch']",False
Valor investido em {{ticker}} na carteira,200,,True,,gated,Blocked by threshold: low_score,ticker_query,fiis_precos,-1.6500000000000001,False,base,low_score,0.9,0.05,-1.6500000000000001,-1.6500000000000001,0.0,0.0,carteira_enriquecida,client_fiis_dividends_evolution,list:final_combined,combined;entity;entity_top_telemetry;final_combined;intent;intent_top2_gap_base;intent_top2_gap_final;rag_hint;rag_signal;thresholds_applied,0,,False,False,,response,86400,araquem:dev-20251030:cfg-4b3f1d4e:pub:fiis_precos:plan:44f14ae98291ef48af2a1d54d88e54d91c921b56b96f9d0339edacaa2eec973a,True,False,179,179.0,183.854,,,,"Não consegui decidir com segurança entre rotas possíveis (low_score | Blocked by threshold: low_score). Tente reformular especificando o que precisa (ex.: risco, dividendos, preços, cadastro/segmento). Possíveis rotas: carteira_enriquecida (0.550), client_fiis_dividends_evolution (0.550), client_fiis_performance_vs_benchmark (0.550).",carteira_enriquecida,carteira_enriquecida,False,False,False,carteira_enriquecida,Suíte SQL-only gerada a partir de perguntas existentes para carteira_enriquecida.,carteira_enriquecida-q2,2,"['status_not_ok', 'entity_mismatch']",False
DY mensal dos meus FIIs,200,,True,,ok,ok,carteira_enriquecida,carteira_enriquecida,1.6500000000000004,True,base,,0.9,0.2,3.3000000000000003,1.6500000000000004,3.3000000000000003,3.3000000000000003,carteira_enriquecida,client_fiis_dividends_evolution,list:final_combined,combined;entity;entity_top_telemetry;final_combined;intent;intent_top2_gap_base;intent_top2_gap_final;rag_hint;rag_signal;thresholds_applied,0,document_number,False,False,,response,,,True,False,349,349.0,975.159,False,,,Sem posições disponíveis.,carteira_enriquecida,carteira_enriquecida,True,True,True,carteira_enriquecida,Suíte SQL-only gerada a partir de perguntas existentes para carteira_enriquecida.,carteira_enriquecida-q3,3,['status_not_ok'],False
evolução dos dividendos da minha carteira,200,,True,,ok,ok,client_fiis_dividends_evolution,client_fiis_dividends_evolution,7.7,True,base,,0.8,0.1,5.5,7.7,5.5,5.5,client_fiis_dividends_evolution,carteira_enriquecida,list:final_combined,combined;entity;entity_top_telemetry;final_combined;intent;intent_top2_gap_base;intent_top2_gap_final;rag_hint;rag_signal;thresholds_applied,0,dividends_evolution,False,False,,response,,,True,False,492,492.0,687.709,False,,,Sem histórico de dividendos para exibir.,client_fiis_dividends_evolution,client_fiis_dividends_evolution,True,True,True,client_fiis_dividends_evolution,Suíte SQL-only gerada a partir de perguntas existentes para client_fiis_dividends_evolution.,client_fiis_dividends_evolution-q1,4,['status_not_ok'],False
como evoluiu a renda dos meus fiis mês a mês,200,,True,,gated,Blocked by threshold: low_score,ticker_query,fiis_precos,-2.2,False,base,low_score,0.9,0.05,-2.2,-2.2,2.2,2.2,client_fiis_dividends_evolution,carteira_enriquecida,list:final_combined,combined;entity;entity_top_telemetry;final_combined;intent;intent_top2_gap_base;intent_top2_gap_final;rag_hint;rag_signal;thresholds_applied,0,,False,False,,response,86400,araquem:dev-20251030:cfg-4b3f1d4e:pub:fiis_precos:plan:44f14ae98291ef48af2a1d54d88e54d91c921b56b96f9d0339edacaa2eec973a,True,False,162,162.0,167.374,,,,"Não consegui decidir com segurança entre rotas possíveis (low_score | Blocked by threshold: low_score). Tente reformular especificando o que precisa (ex.: risco, dividendos, preços, cadastro/segmento). Possíveis rotas: client_fiis_dividends_evolution (0.000), carteira_enriquecida (-2.200), client_fiis_performance_vs_benchmark (-2.200).",client_fiis_dividends_evolution,client_fiis_dividends_evolution,False,False,False,client_fiis_dividends_evolution,Suíte SQL-only gerada a partir de perguntas existentes para client_fiis_dividends_evolution.,client_fiis_dividends_evolution-q2,5,"['status_not_ok', 'entity_mismatch']",False
quanto minha carteira de fiis recebeu de dividendos em cada mês,200,,True,,ok,ok,client_fiis_dividends_evolution,client_fiis_dividends_evolution,6.6000000000000005,True,base,,0.8,0.1,4.3999999999999995,6.6000000000000005,4.3999999999999995,4.3999999999999995,client_fiis_dividends_evolution,carteira_enriquecida,list:final_combined,combined;entity;entity_top_telemetry;final_combined;intent;intent_top2_gap_base;intent_top2_gap_final;rag_hint;rag_signal;thresholds_applied,0,dividends_evolution,False,False,,response,,,True,False,303,303.0,571.874,False,,,Sem histórico de dividendos para exibir.,client_fiis_dividends_evolution,client_fiis_dividends_evolution,True,True,True,client_fiis_dividends_evolution,Suíte SQL-only gerada a partir de perguntas existentes para client_fiis_dividends_evolution.,client_fiis_dividends_evolution-q3,6,['status_not_ok'],False
rentabilidade da minha carteira de fiis versus o IFIX,200,,True,,ok,ok,client_fiis_performance_vs_benchmark,client_fiis_performance_vs_benchmark,2.750000000000001,True,base,,0.8,0.1,2.2,2.750000000000001,2.2,2.2,client_fiis_performance_vs_benchmark,carteira_enriquecida,list:final_combined,combined;entity;entity_top_telemetry;final_combined;intent;intent_top2_gap_base;intent_top2_gap_final;rag_hint;rag_signal;thresholds_applied,0,performance_vs_benchmark,False,False,,response,,,True,False,613,613.0,901.126,False,,,Sem histórico de performance para exibir.,client_fiis_performance_vs_benchmark,client_fiis_performance_vs_benchmark,True,True,True,client_fiis_performance_vs_benchmark,Suíte SQL-only gerada a partir de perguntas existentes para client_fiis_performance_vs_benchmark.,client_fiis_performance_vs_benchmark-q1,7,['status_not_ok'],False
como minha carteira está em relação ao CDI,200,,True,,ok,ok,carteira_enriquecida,carteira_enriquecida,1.6500000000000004,True,base,,0.9,0.2,2.2,1.6500000000000004,2.2,2.2,carteira_enriquecida,client_fiis_performance_vs_benchmark,list:final_combined,combined;entity;entity_top_telemetry;final_combined;intent;intent_top2_gap_base;intent_top2_gap_final;rag_hint;rag_signal;thresholds_applied,0,document_number,False,False,,response,,,True,False,264,264.0,388.655,False,,,Sem posições disponíveis.,client_fiis_performance_vs_benchmark,client_fiis_performance_vs_benchmark,False,False,False,client_fiis_performance_vs_benchmark,Suíte SQL-only gerada a partir de perguntas existentes para client_fiis_performance_vs_benchmark.,client_fiis_performance_vs_benchmark-q2,8,"['status_not_ok', 'entity_mismatch']",False
comparar minha carteira de fiis com o IFIL,200,,True,,ok,ok,carteira_enriquecida,carteira_enriquecida,2.2,True,base,,0.9,0.2,3.2999999999999994,2.2,3.2999999999999994,3.2999999999999994,carteira_enriquecida,client_fiis_performance_vs_benchmark,list:final_combined,combined;entity;entity_top_telemetry;final_combined;intent;intent_top2_gap_base;intent_top2_gap_final;rag_hint;rag_signal;thresholds_applied,0,document_number,False,False,,response,,,True,False,231,231.0,288.526,False,,,Sem posições disponíveis.,client_fiis_performance_vs_benchmark,client_fiis_performance_vs_benchmark,False,False,False,client_fiis_performance_vs_benchmark,Suíte SQL-only gerada a partir de perguntas existentes para client_fiis_performance_vs_benchmark.,client_fiis_performance_vs_benchmark-q3,9,"['status_not_ok', 'entity_mismatch']",False
resumo da performance da minha carteira de fiis versus o IFIX,200,,True,,ok,ok,client_fiis_performance_vs_benchmark_summary,client_fiis_performance_vs_benchmark_summary,3.8500000000000014,True,base,,0.8,0.1,3.3000000000000007,3.8500000000000014,3.3000000000000007,3.3000000000000007,client_fiis_performance_vs_benchmark_summary,carteira_enriquecida,list:final_combined,combined;entity;entity_top_telemetry;final_combined;intent;intent_top2_gap_base;intent_top2_gap_final;rag_hint;rag_signal;thresholds_applied,0,client_fiis_performance_vs_benchmark_summary,False,False,,response,,,True,False,622,622.0,767.66,False,,,Nenhum dado de performance vs benchmark encontrado para sua carteira.,client_fiis_performance_vs_benchmark_summary,client_fiis_performance_vs_benchmark_summary,True,True,True,client_fiis_performance_vs_benchmark_summary,Suíte SQL-only gerada a partir de perguntas existentes para client_fiis_performance_vs_benchmark_summary.,client_fiis_performance_vs_benchmark_summary-q1,10,['status_not_ok'],False
